domain,domain_name,easy,medium,hard,total
e,Transcriptome quantification,0.033333333,0.5,0.466666667,1
f,Differential expression,0,0.791666667,0.208333333,1
b,Read alignment,0,0.545454545,0.454545455,1
g,RNA splicing,0,0.4,0.6,1
m,Detecting circRNA,0,0.210526316,0.789473684,1
l,Fusion detection,0.055555556,0.277777778,0.666666667,1
h,Cell deconvolution,0.3125,0.5,0.1875,1
a,Data quality control,0.0625,0.6875,0.25,1
d,Transcriptome assembly ,0,0.1875,0.8125,1
n,Small RNA detection,0.714285714,0,0.285714286,1
o,Visualization tools ,0.071428571,0.428571429,0.5,1
j,Allele specific expression ,0,0.454545455,0.545454545,1
i,Immune repertoire profiling,0,0.4,0.6,1
c,Gene annotations,0,0.5,0.5,1
k,Viral detection ,0,0.5,0.5,1